env,seed,rank,design,clean_mse_first_post
dmc:cheetah.run.occ,4,7,hacssmv7_sharedaction,0.5541911721229553
dmc:cheetah.run.occ,4,8,hacssmv6,0.5562054514884949
dmc:cheetah.run.occ,4,9,hacsmv4_two_noaux,0.561813473701477
dmc:cheetah.run.occ,4,10,hacssmv7_noaux,0.5708685517311096
dmc:cheetah.run.occ,4,11,hacssmv7_single,0.6073048114776611
dmc:cheetah.run.occ,4,12,ssm,0.6482861042022705
dmc:cheetah.run.occ,4,13,hacssmv7_noaction,0.7773395776748657
ogbench:cube-single.occ,0,1,hacssmv7,1.3674546480178833
ogbench:cube-single.occ,0,2,hacssmv7_norecovery,1.3684022426605225
ogbench:cube-single.occ,0,3,hacssmv7_sharedaction,1.3698043823242188
ogbench:cube-single.occ,0,4,hacssmv7_actiononly,1.3728874921798706
ogbench:cube-single.occ,0,5,hacssmv7_uniform,1.3750042915344238
ogbench:cube-single.occ,0,6,hacssmv7_noaux,1.3768186569213867
ogbench:cube-single.occ,0,7,hacssmv6_static,1.3827552795410156
ogbench:cube-single.occ,0,8,hacssmv7_noshrink,1.3986705541610718
ogbench:cube-single.occ,0,9,hacssmv6,1.402279257774353
ogbench:cube-single.occ,0,10,hacsmv4_two_noaux,1.4067790508270264
ogbench:cube-single.occ,0,11,ssm,1.4920251369476318
ogbench:cube-single.occ,0,12,hacssmv7_single,1.5971910953521729
ogbench:cube-single.occ,0,13,hacssmv7_noaction,1.648547649383545
ogbench:cube-single.occ,1,1,hacssmv7_uniform,1.3440313339233398
ogbench:cube-single.occ,1,2,hacssmv7_norecovery,1.350070595741272
ogbench:cube-single.occ,1,3,hacssmv7_actiononly,1.3509299755096436
ogbench:cube-single.occ,1,4,hacssmv7_sharedaction,1.357180118560791
ogbench:cube-single.occ,1,5,hacssmv6_static,1.3601210117340088
ogbench:cube-single.occ,1,6,hacssmv7_noaux,1.3617008924484253
ogbench:cube-single.occ,1,7,hacssmv7,1.368582010269165
ogbench:cube-single.occ,1,8,hacssmv7_noshrink,1.3821488618850708
ogbench:cube-single.occ,1,9,hacsmv4_two_noaux,1.3826744556427002
ogbench:cube-single.occ,1,10,hacssmv6,1.3835480213165283
ogbench:cube-single.occ,1,11,ssm,1.4840943813323975
ogbench:cube-single.occ,1,12,hacssmv7_single,1.608024001121521
ogbench:cube-single.occ,1,13,hacssmv7_noaction,1.66828191280365
ogbench:cube-single.occ,2,1,hacssmv7,1.3305983543395996
ogbench:cube-single.occ,2,2,hacssmv7_actiononly,1.3353426456451416
ogbench:cube-single.occ,2,3,hacssmv7_norecovery,1.3384618759155273
ogbench:cube-single.occ,2,4,hacssmv7_noaux,1.3432155847549438
ogbench:cube-single.occ,2,5,hacssmv7_noshrink,1.3441170454025269
ogbench:cube-single.occ,2,6,hacssmv7_sharedaction,1.3457309007644653
ogbench:cube-single.occ,2,7,hacssmv7_uniform,1.3485863208770752
ogbench:cube-single.occ,2,8,hacsmv4_two_noaux,1.3590729236602783
