metric,candidate,reference,env,n_pairs,candidate_mean_mse,reference_mean_mse,mean_paired_relative_reduction,median_paired_relative_reduction,paired_wins,paired_ties,environment_mean_wins
clean_mse_recovery,hacssmv7,hacssmv6,__overall__,25,,,-0.0009753178703092243,0.0024177453762004495,14,0,3
clean_mse_late_post,hacssmv7,hacssmv6,dmc:reacher.hard.occ,5,0.2578652918338776,0.2567405700683594,-0.004379494359789614,-0.004349674985155669,0,0,
clean_mse_late_post,hacssmv7,hacssmv6,dmc:ball_in_cup.catch.occ,5,0.7138774514198303,0.7163692593574524,0.0034783934235106608,0.0029098161497059256,4,0,
clean_mse_late_post,hacssmv7,hacssmv6,dmc:finger.spin.occ,5,0.3607757091522217,0.3488657593727112,-0.03414359418412151,-0.03315344336709631,0,0,
clean_mse_late_post,hacssmv7,hacssmv6,dmc:cheetah.run.occ,5,0.17210837602615356,0.17065750062465668,-0.008500382124149473,-0.007166248298615246,0,0,
clean_mse_late_post,hacssmv7,hacssmv6,ogbench:cube-single.occ,5,0.6777803063392639,0.6653346300125123,-0.01870484651504613,-0.01790260975983965,0,0,
clean_mse_late_post,hacssmv7,hacssmv6,__overall__,25,,,-0.012449984751919213,-0.007166248298615246,4,0,1
clean_mse_all,hacssmv7,hacssmv6,dmc:reacher.hard.occ,5,0.343371719121933,0.34225654006004336,-0.003271601864214195,-0.002526703763428966,2,0,
clean_mse_all,hacssmv7,hacssmv6,dmc:ball_in_cup.catch.occ,5,0.7397377371788025,0.7488587021827697,0.012181066503510609,0.013820886380735118,5,0,
clean_mse_all,hacssmv7,hacssmv6,dmc:finger.spin.occ,5,0.5076598525047302,0.49740742444992064,-0.02060571877031795,-0.01997062041361863,0,0,
clean_mse_all,hacssmv7,hacssmv6,dmc:cheetah.run.occ,5,0.25158150792121886,0.25771247744560244,0.023836713563922605,0.018406971619897097,5,0,
clean_mse_all,hacssmv7,hacssmv6,ogbench:cube-single.occ,5,0.8195524454116822,0.8126612663269043,-0.00848690965044693,-0.008548087905755413,0,0,
clean_mse_all,hacssmv7,hacssmv6,__overall__,25,,,0.000730709956490828,-0.0015137306824987333,12,0,2
clean_mse_pre,hacssmv7,hacssmv6_static,dmc:reacher.hard.occ,5,0.23944154679775237,0.24767564237117767,0.03324560219969342,0.03322230310242869,5,0,
clean_mse_pre,hacssmv7,hacssmv6_static,dmc:ball_in_cup.catch.occ,5,0.6120214939117432,0.6023223757743835,-0.016128224465004528,-0.019878805107075456,1,0,
clean_mse_pre,hacssmv7,hacssmv6_static,dmc:finger.spin.occ,5,0.3596014678478241,0.3759343445301056,0.04344865300617791,0.043521562978901425,5,0,
clean_mse_pre,hacssmv7,hacssmv6_static,dmc:cheetah.run.occ,5,0.1493321031332016,0.15316276252269745,0.02499364684261521,0.022823679337978464,5,0,
clean_mse_pre,hacssmv7,hacssmv6_static,ogbench:cube-single.occ,5,0.7330040693283081,0.7549984931945801,0.029132727709714503,0.029268769593372244,5,0,
clean_mse_pre,hacssmv7,hacssmv6_static,__overall__,25,,,0.022938481058639305,0.029690165763479586,21,0,4
clean_mse_blackout_transition,hacssmv7,hacssmv6_static,dmc:reacher.hard.occ,5,0.4170936465263367,0.42147780060768125,0.010382714160951743,0.0113049409700617,4,0,
clean_mse_blackout_transition,hacssmv7,hacssmv6_static,dmc:ball_in_cup.catch.occ,5,0.7567189931869507,0.7242907643318176,-0.04480236698552501,-0.03969156752923305,0,0,
clean_mse_blackout_transition,hacssmv7,hacssmv6_static,dmc:finger.spin.occ,5,0.7235350489616394,0.7153044819831849,-0.011454091972262607,-0.019627968750687987,2,0,
clean_mse_blackout_transition,hacssmv7,hacssmv6_static,dmc:cheetah.run.occ,5,0.4257108807563782,0.3655103087425232,-0.16421170673060576,-0.16437480718959555,0,0,
clean_mse_blackout_transition,hacssmv7,hacssmv6_static,ogbench:cube-single.occ,5,0.9699753522872925,0.9809810400009156,0.01113385492931786,0.0071079624511761795,4,0,
clean_mse_blackout_transition,hacssmv7,hacssmv6_static,__overall__,25,,,-0.039790319319624755,-0.019627968750687987,10,0,2
clean_mse_deep_blackout,hacssmv7,hacssmv6_static,dmc:reacher.hard.occ,5,0.7779529213905334,0.7888159155845642,0.013814182403536376,0.012523053741079843,5,0,
