task,seed,design,heldout_prior_state_nmse,clean_prior_state_nmse,val_predictive_loss,deep_prior_state_nmse,encoder_mean_channel_variance,encoder_covariance_effective_rank,predictive_loss_convergence_relative_change,initial_encoder_integrator_probe_nmse
quadruped.run,18002,vicreg_hacssmv8_noaction,1.1168962821092807,1.0576923376913985,0.029878853261470793,1.1201079291508327,0.17045800823321866,35.9553167393524,-0.14192061787307977,0.6135303131496627
quadruped.run,18002,vicreg_hacssmv8_single,0.9306595482981406,0.8628992562186081,0.035542984555164976,0.9311638095953816,0.20528062698043817,45.239633799059604,-0.08372431846636676,0.6155885131060623
quadruped.run,18003,vicreg_none,1.1214326584227636,1.0538860291400283,0.025092461332678794,1.126462656039298,0.14091184972472032,32.418157058561114,-0.09817691926086518,0.6132888136730693
quadruped.run,18003,vicreg_gru,1.0608137376054274,1.0545783645436737,0.023267256965239843,1.0660382067424823,0.14550983555133873,28.617171281322065,-0.12973263086816927,0.6176751429792842
quadruped.run,18003,vicreg_ssm,1.083573294480586,1.0598279265429538,0.024668249860405923,1.088020764528995,0.14803389975899411,30.784871657614655,-0.10719452218956588,0.6165954282343095
quadruped.run,18003,vicreg_hacssmv8,0.9375030905741133,0.844024453774261,0.021423108503222467,0.9386787945517522,0.12633448211875448,26.38204744685332,-0.06421618038401657,0.6197863989337052
quadruped.run,18003,vicreg_hacssmv8_static,0.9801683789441701,0.8665728673277568,0.018662589167555175,0.9821973556519238,0.11035665863830571,21.80706212862951,-0.23930553969254806,0.6199876822243322
quadruped.run,18003,vicreg_hacssmv8_dynamic,1.0068292577631044,0.8611097138184509,0.021046451479196548,1.00612288743184,0.12841626320686195,25.06681372978552,-0.21310279247067732,0.617306414507119
quadruped.run,18003,vicreg_hacssmv8_noaction,1.1842440912941052,1.0618057088912198,0.019866528858741125,1.1853980724713087,0.12444482395312045,25.62434816677932,-0.10211633861981213,0.6199529651626308
quadruped.run,18003,vicreg_hacssmv8_single,0.9280084023415001,0.8566280903534494,0.029175738990306854,0.9280798014157745,0.15207807007563767,31.243965224720966,-0.12713870966752508,0.6137922867931861
quadruped.run,18004,vicreg_none,1.5486338054996265,1.040020564123156,0.012877317331731319,1.5551043940327531,0.08610321354180266,12.6585385401833,-0.24226831031311466,0.6227275055923979
quadruped.run,18004,vicreg_gru,1.0658500452983701,1.0541104743019543,0.014384181797504425,1.0707274688040231,0.09446082169651876,14.095714880827158,-0.12412084863783082,0.6215503723876279
quadruped.run,18004,vicreg_ssm,1.4855496823046632,1.0598241757428486,0.013248679973185063,1.4464376597525814,0.09163637560203479,13.60184066529497,-0.2196603047399747,0.6190566170415942
quadruped.run,18004,vicreg_hacssmv8,1.1588667969297424,0.8175786782421833,0.013907588335374992,1.1590589973974845,0.08615889718620251,12.999578817798731,-0.4097821874274328,0.6211969694238574
quadruped.run,18004,vicreg_hacssmv8_static,1.2475918924921727,0.8200396906096118,0.01133448990682761,1.2488295076024598,0.07770619409149997,11.433283154624853,-0.36584937990405236,0.6195711340578622
quadruped.run,18004,vicreg_hacssmv8_dynamic,1.0382604739779604,0.8292669764797103,0.01328885176529487,1.038246400243996,0.0904682455314523,15.056141697574342,-0.1041552024405056,0.6205478745919953
quadruped.run,18004,vicreg_hacssmv8_noaction,1.628771283451671,1.0620855829037337,0.009698216306666533,1.6320856190819626,0.0758507939420466,10.239957388583731,-0.4571026542587327,0.6202179806615636
quadruped.run,18004,vicreg_hacssmv8_single,1.1985832345817027,0.8063602057153656,0.011526848499973616,1.1859306452683298,0.08567017315197827,13.174994690693794,-0.28475712362785977,0.6200365948895572
quadruped.run,18005,vicreg_none,1.1302226107728677,1.0342419548359847,0.011053730671604475,1.13523582154735,0.07415716012087821,11.080728059811708,-0.14394946715581716,0.6181727612350156
quadruped.run,18005,vicreg_gru,1.0641499483259662,1.0568400649446938,0.013768279490371545,1.0695835906848732,0.0830132536708384,12.903982797415884,-0.31317351202380006,0.6199407073750138
quadruped.run,18005,vicreg_ssm,1.106549347413783,1.055517416186784,0.015364433576663335,1.108937174793064,0.08753084754632898,16.348117053215205,-0.26442963134272934,0.6146970922119894
quadruped.run,18005,vicreg_hacssmv8,1.3798434269152051,0.8054126373096329,0.008438676316291093,1.3756642813575362,0.059404393604351444,8.292094882929813,-0.3147983002301109,0.6184948933367816
quadruped.run,18005,vicreg_hacssmv8_static,1.4079314980258304,0.8114653885504697,0.010491580702364445,1.4057644229519186,0.06964204252459018,9.16057250944997,-0.2447213557355,0.6213241086514006
quadruped.run,18005,vicreg_hacssmv8_dynamic,1.5290670089445113,0.795665685926235,0.008663120865821838,1.5305728739779187,0.06333181672596852,7.718793682300573,-0.2601982919935031,0.6221834573467216
quadruped.run,18005,vicreg_hacssmv8_noaction,1.412279203453573,1.0599882736022441,0.013273113965988159,1.4108931146231563,0.078068503326473,11.922125172061168,-0.02979404708781378,0.6192792975993724
quadruped.run,18005,vicreg_hacssmv8_single,1.135012679038568,0.7931879254070049,0.01404781707872947,1.1195188685770199,0.08035944095215888,11.145911680002493,-0.3386228373588964,0.6192417368663657
stacker.stack_4,18001,vicreg_none,0.9479826491358085,0.8616940277874434,0.08202381233374277,0.9444127911340159,0.30448802890346555,69.33625057053047,-0.011135303656478952,0.8208231598468329
stacker.stack_4,18001,vicreg_gru,0.9079219870048701,0.8550891743415527,0.07386560489734013,0.9040912937541172,0.3080973786015807,65.9439926239188,0.013109032202451652,0.8054700452790942
stacker.stack_4,18001,vicreg_ssm,0.8820944512911173,0.8563857409513956,0.08060194303592046,0.8778922737561161,0.3045168793866195,69.31676124334462,0.0017662192951147383,0.8033808821748457
stacker.stack_4,18001,vicreg_hacssmv8,0.9170183538777982,0.8181947049219983,0.0697170635064443,0.910164565444312,0.30504484822119504,66.85571510269193,-0.003209204549569487,0.8042309002492949
stacker.stack_4,18001,vicreg_hacssmv8_static,0.913384388795978,0.8269386388041705,0.07208387752374014,0.9070955143213307,0.29948753828750474,67.20558141798399,0.004210117732491798,0.8041028123686234
stacker.stack_4,18001,vicreg_hacssmv8_dynamic,0.9067051325641959,0.8267091442773371,0.06916392296552658,0.9012066330146994,0.3090018553087419,66.4041891519122,0.0031797047541322876,0.8046218140358601
stacker.stack_4,18001,vicreg_hacssmv8_noaction,0.943518106042885,0.8533078576977431,0.07085174967845281,0.936404686044335,0.3106950708664871,66.90438082956102,0.0026167563016379295,0.8058548430370569
stacker.stack_4,18001,vicreg_hacssmv8_single,0.9014494144380707,0.8476962656360875,0.07124266177415847,0.8950652394418278,0.30385550120236476,66.93979728922906,0.019747239373121214,0.8022436128291067
stacker.stack_4,18002,vicreg_none,0.9555644055443998,0.8704139756182234,0.07692611763874689,0.9514335438771752,0.2927841795445293,68.52399234438299,-0.0008495711891107125,0.814168790199986
stacker.stack_4,18002,vicreg_gru,0.9033077797509826,0.8658151905512824,0.07063056975603103,0.8999574558257316,0.2941801809341711,66.71924785028706,0.0046013043869053746,0.8155748382434403
stacker.stack_4,18002,vicreg_ssm,0.8916631260370655,0.8627184436364709,0.07435677746931711,0.8875623435919001,0.29290713801484725,67.90974783836744,0.0004700432078969972,0.8136530018709676
stacker.stack_4,18002,vicreg_hacssmv8,0.9271985324945871,0.8227214611746997,0.06541248857975006,0.9190465354622965,0.2913846792530841,65.24336403261813,-0.006416941553730293,0.8046336171486554
stacker.stack_4,18002,vicreg_hacssmv8_static,0.9331994504249858,0.8255357099308258,0.06658838192621867,0.9249117702047099,0.28328705159853695,65.53398558303694,-0.016362444409363807,0.8057653857317633
stacker.stack_4,18002,vicreg_hacssmv8_dynamic,0.9189666200900753,0.828412454752695,0.06313224931557973,0.9120106833309469,0.28553101701422623,65.01605075952453,-0.006659966591938817,0.8068116903680795
stacker.stack_4,18002,vicreg_hacssmv8_noaction,0.9613180336906008,0.8548806317759429,0.06541265249252319,0.9537053798290411,0.2922180789016879,65.28293744344415,-0.004172514228573154,0.8041810355472551
stacker.stack_4,18002,vicreg_hacssmv8_single,0.9063562483286558,0.8433791348017502,0.0681792159875234,0.8983590714101684,0.29147049371411937,65.80753930674005,-0.017952859859007703,0.8050051750096898
stacker.stack_4,18003,vicreg_none,0.9647346521963645,0.873167305641634,0.08063044548034667,0.960078436726563,0.2928723957629886,70.08423049142871,-0.05774824689834771,0.8173243446147133
stacker.stack_4,18003,vicreg_gru,0.9184044996006849,0.8699750228533669,0.07385121335585912,0.9143402096455883,0.2891047920335879,68.09539298920532,-0.06580147188887235,0.8070115616770356
stacker.stack_4,18003,vicreg_ssm,0.8984072165716348,0.8667083181471491,0.07888990888992946,0.8940225411648637,0.2925763341343377,69.4347589642643,-0.07278577818354989,0.8064636798350736
stacker.stack_4,18003,vicreg_hacssmv8,0.9192805286137321,0.8248371186500294,0.06637148410081864,0.9119816503235441,0.2868110781414939,65.82495529706668,-0.026134485420390596,0.7975040524457929
