env,design,seed,level,tau,causal_gate_mean,visible_mean,black_mean,visible_minus_black,visible_auroc,temporal_std,input_std,original_first_post_mse,mean_gate_first_post_mse,mean_gate_relative_change
dmc:ball_in_cup.catch.occ,hacsmv4_single,1,0,2,0.7726199626922607,0.886965811252594,0.6011012196540833,0.28586459159851074,1.0,0.14011217653751373,0.013391945511102676,0.9890490770339966,1.0865483283996582,0.09857878088951111
dmc:ball_in_cup.catch.occ,hacsmv4_single,1,1,8,0.7612023949623108,0.8806336522102356,0.5820554494857788,0.2985782027244568,1.0,0.14629808068275452,0.01536423061043024,0.9890490770339966,1.0865483283996582,0.09857878088951111
dmc:ball_in_cup.catch.occ,hacsmv4_single,1,2,32,0.8224694132804871,0.9165495038032532,0.6813492774963379,0.23520022630691528,1.0,0.1152307465672493,0.013983963057398796,0.9890490770339966,1.0865483283996582,0.09857878088951111
dmc:ball_in_cup.catch.occ,hacsmv4_single,2,0,2,0.7704024910926819,0.8867701888084412,0.595850944519043,0.2909192442893982,1.0,0.14259563386440277,0.014239165000617504,0.9802651405334473,1.0628832578659058,0.08428139984607697
dmc:ball_in_cup.catch.occ,hacsmv4_single,2,1,8,0.7588353157043457,0.8805743455886841,0.5762266516685486,0.3043476939201355,1.0,0.14913217723369598,0.016052912920713425,0.9802651405334473,1.0628832578659058,0.08428139984607697
dmc:ball_in_cup.catch.occ,hacsmv4_single,2,2,32,0.8208975195884705,0.9168623685836792,0.6769502758979797,0.23991209268569946,1.0,0.11754243075847626,0.014504869468510151,0.9802651405334473,1.0628832578659058,0.08428139984607697
dmc:ball_in_cup.catch.occ,hacsmv4,0,0,2,0.6474971771240234,0.8684706687927246,0.31603679060935974,0.5524338483810425,1.0,0.2707488536834717,0.021368445828557014,1.0096567869186401,1.3094871044158936,0.2969626188278198
dmc:ball_in_cup.catch.occ,hacsmv4,0,1,8,0.6796921491622925,0.8924698233604431,0.3605257272720337,0.5319440960884094,1.0,0.26062896847724915,0.021327588707208633,1.0096567869186401,1.3094871044158936,0.2969626188278198
dmc:ball_in_cup.catch.occ,hacsmv4,0,2,32,0.7077524662017822,0.9070397615432739,0.40882134437561035,0.4982184171676636,1.0,0.244084432721138,0.02374882623553276,1.0096567869186401,1.3094871044158936,0.2969626188278198
dmc:ball_in_cup.catch.occ,hacsmv4,1,0,2,0.6674328446388245,0.8696907758712769,0.3640459477901459,0.5056447982788086,1.0,0.2478388100862503,0.021586673334240913,1.0399348735809326,1.4138381481170654,0.35954490303993225
dmc:ball_in_cup.catch.occ,hacsmv4,1,1,8,0.6998534202575684,0.8927400708198547,0.41052326560020447,0.48221680521965027,1.0,0.2362707257270813,0.021612513810396194,1.0399348735809326,1.4138381481170654,0.35954490303993225
dmc:ball_in_cup.catch.occ,hacsmv4,1,2,32,0.7283689379692078,0.9069480895996094,0.4605002701282501,0.44644781947135925,1.0,0.21872302889823914,0.023833518847823143,1.0399348735809326,1.4138381481170654,0.35954490303993225
dmc:ball_in_cup.catch.occ,hacsmv4,2,0,2,0.6549134254455566,0.868387758731842,0.33470186591148376,0.5336859226226807,1.0,0.2615751326084137,0.022306667640805244,1.0374609231948853,1.4369138479232788,0.3850293755531311
